damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,hole/crack/bonding,lightning_recep_dam/impact,assist,other,num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,size,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,sc_score,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,windtex
4,47,0,2,0,0,0,0,0,1,1,8,2,8,1,6,4,10,11,4,7,7,13,3,9,3,4,4,4,11,16,2,2,4,6,6,6,7,9,20,23,42,5
1,48,0,2,0,0,0,0,0,1,0,4,2,4,1,6,4,10,12,7,8,8,14,2,10,2,4,4,4,12,18,2,2,2,4,6,6,8,10,18,28,34,4
2,46,0,2,0,0,0,0,0,1,0,13,2,6,1,7,3,10,11,2,8,8,14,4,9,2,4,11,13,12,17,2,2,2,4,4,4,6,8,5,1,23,4
2,49,0,2,0,0,0,0,0,1,0,4,2,6,1,7,3,10,10,2,7,8,13,4,8,2,3,5,3,11,9,2,2,3,5,4,4,5,7,8,12,37,4
1,48,0,2,0,0,0,0,0,1,0,4,2,4,1,6,3,10,11,1,8,7,14,2,10,1,2,5,4,12,16,2,2,2,4,4,4,4,6,6,6,23,4
3,32,0,1,1,0,0,0,0,2,0,9,2,7,1,7,4,10,9,2,8,8,14,7,6,3,4,9,9,2,4,2,2,5,7,5,5,6,8,4,8,40,2
3,44,0,2,0,0,0,0,0,1,1,4,2,6,1,6,6,10,12,3,6,8,12,4,10,4,4,6,4,12,18,2,2,4,6,6,6,8,10,4,26,22,4
1,34,2,0,0,0,0,0,0,1,1,12,2,6,1,8,11,10,12,2,8,8,14,0,11,2,4,11,12,4,6,2,2,7,9,5,6,6,8,8,6,29,1
1,42,0,2,0,0,0,0,0,1,0,8,2,6,1,8,8,10,12,1,8,6,12,8,8,4,2,8,8,2,4,2,2,0,2,4,4,4,6,16,0,24,3
1,44,0,2,0,0,0,0,0,1,0,4,2,4,1,6,6,10,12,2,6,6,12,0,12,4,4,4,4,6,8,2,2,8,10,6,6,8,10,8,22,20,3
1,44,2,0,0,0,0,0,0,1,1,12,4,2,1,8,6,10,12,2,8,8,12,4,10,4,4,8,6,12,18,2,2,8,10,4,4,6,8,16,46,34,3
1,35,0,1,1,0,0,0,0,2,0,6,2,6,1,6,8,10,10,2,8,8,14,6,8,2,2,6,6,12,8,2,2,8,10,6,6,6,8,10,2,28,1
1,36,0,1,1,0,0,0,0,2,0,8,2,6,1,6,6,10,12,2,8,6,12,4,8,2,2,6,8,8,10,2,2,8,6,6,6,6,8,16,6,24,1
1,44,0,2,0,0,0,0,0,1,0,4,2,6,1,8,4,10,8,2,6,6,12,4,8,4,4,4,4,12,12,4,2,8,10,6,6,8,10,8,8,24,3
4,35,3,0,0,0,0,0,0,1,1,12,2,7,1,7,6,10,12,2,8,8,14,3,8,2,4,10,12,9,12,2,2,8,10,5,4,6,8,10,9,41,2
1,44,3,2,0,0,0,0,0,2,0,4,2,8,1,8,6,10,8,2,8,6,12,2,10,4,4,6,6,8,10,2,2,8,10,4,6,8,10,17,28,28,3
1,44,2,2,0,0,0,0,0,2,1,12,2,7,1,8,7,10,12,3,6,8,12,2,10,2,2,8,11,12,18,2,2,7,9,6,6,8,10,16,19,53,3
1,44,0,2,0,0,0,0,0,1,1,4,2,8,1,6,8,10,12,3,8,8,12,2,10,2,2,6,6,12,18,2,2,4,6,6,6,8,10,14,19,28,1
3,34,2,0,0,0,0,0,0,1,1,12,2,6,1,8,10,10,10,4,8,8,14,2,10,2,4,8,6,12,16,2,2,8,10,4,4,6,8,18,18,53,2
2,44,2,2,0,0,0,0,0,2,1,11,2,3,1,6,5,10,12,3,7,8,12,5,8,4,2,6,6,12,18,2,2,8,10,4,5,6,8,14,31,46,5
1,44,0,2,0,0,0,0,0,1,1,6,2,6,1,6,6,10,12,2,6,8,12,0,12,4,4,6,6,12,18,4,2,8,10,4,4,6,8,14,18,20,1
1,36,0,1,1,0,0,0,0,2,0,12,2,6,1,8,10,10,12,3,8,8,14,1,12,2,2,9,7,6,8,4,4,5,7,6,6,4,6,19,36,24,2
1,44,2,2,0,0,0,0,0,2,1,12,2,8,1,8,6,10,9,2,7,7,13,6,8,5,3,7,8,11,13,2,2,3,5,6,5,7,9,20,27,34,4
1,44,0,2,0,0,0,0,0,1,1,11,2,4,1,8,4,10,12,2,7,7,13,4,9,4,3,6,6,10,14,2,2,3,5,5,6,6,8,23,12,44,4
1,35,0,1,1,0,0,0,0,2,0,12,2,7,1,4,4,10,9,3,8,8,14,4,9,3,4,12,12,3,5,3,2,8,10,4,2,6,8,1,29,69,2
1,42,0,2,0,0,0,0,0,1,0,6,2,6,1,7,3,11,12,2,7,7,13,2,10,3,3,6,6,9,14,2,2,8,10,5,6,6,8,14,19,26,4
5,42,0,2,3,0,0,0,0,2,1,10,2,9,1,9,5,10,12,2,8,8,12,1,10,2,2,7,6,12,17,2,2,8,10,6,6,8,10,16,21,42,5
1,43,0,2,0,0,0,0,0,1,1,12,2,10,1,4,6,10,12,5,8,8,12,2,10,4,2,8,8,10,12,2,2,6,8,4,4,8,10,20,8,32,4
5,43,0,2,3,0,0,0,0,2,1,7,2,6,1,6,4,10,11,2,7,7,13,3,9,4,4,6,6,7,9,2,2,3,5,6,6,6,8,12,23,28,5
1,47,0,0,0,0,0,1,0,1,0,2,2,8,1,8,10,8,6,1,4,4,4,20,0,10,2,6,6,8,10,2,2,2,4,4,4,8,10,24,4,60,2
