@relation first

@attribute damage_qty numeric
@attribute position {LE,'LE,PS,SS',SS,'LE,PS',PS,'PS,TE','PS,SS','LE,SS','SS,TE',TE,'TE,SS'}
@attribute location numeric
@attribute description {'protection damage','gelcoat damage, laminate visible','erosion foil damaged','erosion class 2','erosion class 2-3','erosion class 2-3, protection damage','erosion class 2, protection damage','erosion class 1-2, protection damage','laminate damage, protection damage','vortex module damaged/missing','erosion class 1-2','gelcoat damage, laminate visible, protection damage','longitudinal crack','cracking to filler','erosion foil damaged, laminate visible','Edge seal damaged','Laminate damage','gelcoat damage, laminate visible, lighting strike','erosion class 3, protection damage','Dry laminate','gelcoat damage, laminate visible, erosion foil damaged','erosion class 3','erosion class 3, protection damage, laminate visible','hole in blade','Topcoat damage','drain blocked','erosion class 2, protection damage, erosion foil damaged','erosion class 2-3, protection damage, erosion foil damaged','Tip-split due to lightning','erosion foil damaged, wrinkles','gelcoat damage, laminate visible, erosion class 2','No drain holes in designated spots','Gelcoat damage','erosion class 1-3','erosion class 2-3, protection damage, laminate damage','gelcoat damage, laminate visible, erosion class 1-3','Bonding deficiency','erosion early',erosion,crack,'Gurney Flaps','coating damage','Rain Deflector','crack early',Erosion,Cracks,'Lightning Receptor','IMPACT DAMAGE',LIGHTNINIG,'Impact Damage'}
@attribute num_desc numeric
@attribute continuous numeric
@attribute out_hue_mode numeric
@attribute out_sat_mode numeric
@attribute out_brt_mode numeric
@attribute coverage numeric
@attribute asp_ratio numeric
@attribute deg_avg numeric
@attribute deg_mode numeric
@attribute edge numeric
@attribute edgelen_avg numeric
@attribute edgelen_mode numeric
@attribute distance numeric
@attribute sc_edge_ratio numeric
@attribute sc_follow_turn numeric
@attribute sc_reverse_turn numeric
@attribute sc_small_turn numeric
@attribute hue_avg numeric
@attribute hue_mode numeric
@attribute hue_range numeric
@attribute hue_uni numeric
@attribute sat_avg numeric
@attribute sat_mode numeric
@attribute sat_range numeric
@attribute sat_uni numeric
@attribute brt_avg numeric
@attribute brt_mode numeric
@attribute brt_range numeric
@attribute brt_uni numeric
@attribute hue_outin numeric
@attribute sat_outin numeric
@attribute brt_outin numeric
@attribute size numeric
@attribute windtex numeric

@data
4,LE,47,'protection damage',1,1,8,2,8,6,4,10,11,222,7,7,11,13,5,9,3,4,4,11,16,2,2,4,6,6,6,7,9,20,23,42,459.7067,2
1,LE,48.5,'protection damage',1,0,4,2,4,6,4,10,12,406,8,8,-2,14,4,10,2,4,4,12,18,2,2,2,4,6,6,8,10,18,28,34,73.3822,1.5
2,LE,46.9,'protection damage',1,0,13,2,6,7,3,10,11,80,8,8,334,14,6,9,2,11,13,12,17,2,2,2,4,4,4,6,8,5,1,23,37.1675,1.5
2,LE,49,'protection damage',1,0,4,2,6,7,3,10,10,76,7,8,55,13,5,8,2,5,3,11,9,2,2,3,5,4,4,5,7,8,12,37,49.4084,1.5
1,LE,48.6,'protection damage',1,0,4,2,4,6,3,10,11,53,8,7,29,14,2,10,1,5,4,12,16,2,2,2,4,4,4,4,6,6,6,23,28.6667,1.5
3,LE,32,'gelcoat damage, laminate visible',2,0,9,2,7,7,4,10,9,80,8,8,-1,14,8,6,3,9,9,2,4,2,2,5,7,5,5,6,8,4,8,40,5.3305,0.5
3,'LE,PS,SS',44,'erosion foil damaged',1,1,4,2,6,6,6,10,12,136,6,8,-2,12,4,10,4,6,4,12,18,2,2,4,6,6,6,8,10,4,26,22,112.7931,1.5
1,LE,34,'erosion class 2',1,1,12,2,6,8,11,10,12,66,8,8,-1,14,1,11,2,11,12,4,6,2,2,7,9,5,6,6,8,8,6,29,30.3335,0.3
1,LE,42,'erosion foil damaged',1,0,8,2,6,8,8,10,12,26,8,6,-2,12,8,8,4,8,8,2,4,2,2,0,2,4,4,4,6,16,0,24,0.086,1
1,LE,44,'erosion foil damaged',1,0,4,2,4,6,6,10,12,112,6,6,-2,12,2,12,4,4,4,6,8,2,2,8,10,6,6,8,10,8,22,20,56,1
1,LE,44,'erosion class 2',1,1,12,4,2,8,6,10,12,72,8,8,-2,12,6,10,4,8,6,12,18,2,2,8,10,4,4,6,8,16,46,34,56.0379,1
1,LE,35,'gelcoat damage, laminate visible',2,0,6,2,6,6,8,10,10,68,8,8,-2,14,6,8,2,6,6,12,8,2,2,8,10,6,6,6,8,10,2,28,6.4654,0.3
1,LE,36,'gelcoat damage, laminate visible',2,0,8,2,6,6,6,10,12,86,8,6,-2,12,6,8,2,6,8,8,10,2,2,8,6,6,6,6,8,16,6,24,31.3628,0.3
1,LE,44,'erosion foil damaged',1,0,4,2,6,8,4,10,8,80,6,6,-2,12,6,8,4,4,4,12,12,4,2,8,10,6,6,8,10,8,8,24,62.406,1
4,LE,35,'erosion class 2-3',1,1,12,2,7,7,6,10,12,105,8,8,-1,14,5,8,2,10,12,9,12,2,2,8,10,5,4,6,8,10,9,41,113.0628,0.5
1,LE,44,'erosion class 2-3, protection damage',2,0,4,2,8,8,6,10,8,92,8,6,1,12,4,10,4,6,6,8,10,2,2,8,10,4,6,8,10,17,28,28,47.7853,1
1,LE,44,'erosion class 2, protection damage',2,1,12,2,7,8,7,10,12,128,6,8,1,12,2,10,2,8,11,12,18,2,2,7,9,6,6,8,10,16,19,53,140.2544,1
1,'LE,PS,SS',44,'erosion foil damaged',1,1,4,2,8,6,8,10,12,156,8,8,-2,12,2,10,2,6,6,12,18,2,2,4,6,6,6,8,10,14,19,28,175.0278,0
3,LE,34,'erosion class 2',1,1,12,2,6,8,10,10,10,213,8,8,-1,14,4,10,2,8,6,12,16,2,2,8,10,4,4,6,8,18,18,53,80.9492,0.5
2,LE,44,'erosion class 1-2, protection damage',2,1,11,2,3,6,5,10,12,163,7,8,-2,12,6,8,4,6,6,12,18,2,2,8,10,4,5,6,8,14,31,46,287.3929,2
1,LE,44,'erosion foil damaged',1,1,6,2,6,6,6,10,12,112,6,8,-2,12,0,12,4,6,6,12,18,4,2,8,10,4,4,6,8,14,18,20,142.2668,0
