damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
4,47.0,0,2,0,0,0,0,0,0,1,1,8,2,8,6,4,10,11,222,7,7,13,5,9,3,4,4,11,16,2,2,4,6,6,6,7,9,20,23,42,459.70669999999996,2.0
1,48.5,0,2,0,0,0,0,0,0,1,0,4,2,4,6,4,10,12,406,8,8,14,4,10,2,4,4,12,18,2,2,2,4,6,6,8,10,18,28,34,73.3822,1.5
2,46.9,0,2,0,0,0,0,0,0,1,0,13,2,6,7,3,10,11,80,8,8,14,6,9,2,11,13,12,17,2,2,2,4,4,4,6,8,5,1,23,37.167500000000004,1.5
2,49.0,0,2,0,0,0,0,0,0,1,0,4,2,6,7,3,10,10,76,7,8,13,5,8,2,5,3,11,9,2,2,3,5,4,4,5,7,8,12,37,49.4084,1.5
1,48.6,0,2,0,0,0,0,0,0,1,0,4,2,4,6,3,10,11,53,8,7,14,2,10,1,5,4,12,16,2,2,2,4,4,4,4,6,6,6,23,28.666700000000002,1.5
3,32.0,0,1,1,0,0,0,0,0,2,0,9,2,7,7,4,10,9,80,8,8,14,8,6,3,9,9,2,4,2,2,5,7,5,5,6,8,4,8,40,5.330500000000001,0.5
3,44.0,0,2,0,0,0,0,0,0,1,1,4,2,6,6,6,10,12,136,6,8,12,4,10,4,6,4,12,18,2,2,4,6,6,6,8,10,4,26,22,112.7931,1.5
1,34.0,2,0,0,0,0,0,0,0,1,1,12,2,6,8,11,10,12,66,8,8,14,1,11,2,11,12,4,6,2,2,7,9,5,6,6,8,8,6,29,30.3335,0.3
1,42.0,0,2,0,0,0,0,0,0,1,0,8,2,6,8,8,10,12,26,8,6,12,8,8,4,8,8,2,4,2,2,0,2,4,4,4,6,16,0,24,0.086,1.0
1,44.0,0,2,0,0,0,0,0,0,1,0,4,2,4,6,6,10,12,112,6,6,12,2,12,4,4,4,6,8,2,2,8,10,6,6,8,10,8,22,20,56.0,1.0
1,44.0,2,0,0,0,0,0,0,0,1,1,12,4,2,8,6,10,12,72,8,8,12,6,10,4,8,6,12,18,2,2,8,10,4,4,6,8,16,46,34,56.0379,1.0
1,35.0,0,1,1,0,0,0,0,0,2,0,6,2,6,6,8,10,10,68,8,8,14,6,8,2,6,6,12,8,2,2,8,10,6,6,6,8,10,2,28,6.4654,0.3
